Onderwerpen, Totale oppervlakte, Agrarisch terrein
Regio's, Perioden, ha, ha
Druten, 2003, 4243, 2841
Druten, 2006, 4243, 2815
Druten, 2008, 4243, 2795
Druten, 2010, 4243, 2776
Druten, 2012, 4246, 2784
Druten, 2015, 4246, 2734
Duiven, 1996, 3515, 2523
Duiven, 2000, 3515, 2489
Duiven, 2003, 3515, 2370
Duiven, 2006, 3515, 2345
Duiven, 2008, 3515, 2322
Duiven, 2010, 3515, 2295
Duiven, 2012, 3519, 2304
Duiven, 2015, 3519, 2309
Echt-Susteren, 1996, NaN, NaN
Echt-Susteren, 2000, NaN, NaN
Echt-Susteren, 2003, 10380, 7283
Echt-Susteren, 2006, 10460, 7236
Echt-Susteren, 2008, 10460, 7237
Echt-Susteren, 2010, 10460, 7184
Echt-Susteren, 2012, 10462, 7143
Echt-Susteren, 2015, 10462, 7113
